Name,Num Quarters,CIK,
"Miura Global Management, LLC",2,1352272,
Moon Capital,2,1387303,
MSDC Management,2,1514334,
Nantahala Capital Management,2,1472322,
Nantahala Capital Management,2,1472322,
Newbrook Capital Advisors LP,2,1389875,
Night Owl Capital Management,2,1410833,
"Nishkama Capital, LLC",2,1633799,
Noked Capital,2,1709622,
Oaktree Capital Management,2,949509,
Oasis Management Co Ltd.,2,1317904,
Ogborne Capital,2,1619083,
Ogborne Capital,2,1619083,
Opaleye Management,2,1595855,
Opaleye Management,2,1595855,
Pentwater Capital Management,2,1425851,
Perceptive Advisors,2,1224962,
Perceptive Advisors,2,1224962,
Prosight Capital,2,1634038,
RA Capital Management,2,1346824,
RA Capital Management,2,1346824,
Ratan Capital Group,2,1464094,
Ratan Capital Group,2,1619331,
Ratan Capital Group,2,1566887,
RGM Capital,2,1323953,
RGM Capital,2,1323953,
Rivulet Capital,2,1566691,
Saba Capital,2,1510281,
Sand Grove Capital Management LLP,2,1665077,
Sandell Asset Management,2,1140474,
SCGE Management,2,1537530,
SCGE Management,2,1537530,
Segantii Capital,2,1544676,
Segantii Capital Management Ltd,2,1544676,
Senator Investment Group LP,2,1443689,
Serenity Capital,2,1706018,
Serenity Capital,2,1706018,
ShawSpring Partners LLC,2,1766908,
Shelter Harbor Advisors,2,1697803,
Silver Point Capital,2,1169161,
SkyTop Capital Management,2,1512690,
Slate Path Capital,2,1559706,
Sloane Robinson LLP,2,1415293,
Sun Valley Gold,2,1280493,
"Suvretta Capital Management, LLC",2,1569064,
Sylebra Capital Ltd,2,1627436,
Sylebra Capital Management,2,1745666,
Sylebra Capital Management,2,1627436,
Tenzing Global Investors,2,1538790,
Think Investments,2,1635999,
TIG Advisors,2,1358253,
Tiger global management,2,1167483,
Tree Line Advisors (Hong Kong) Ltd.,2,1535096,
TVR Capital,2,1667797,
TVR Capital,2,1667804,
TVR Capital,2,1669690,
Twin Capital Management,2,1754185,
Tybourne Capital Management,2,1680784,
Tybourne Capital Management,2,1553936,
UG Investment Advisers Ltd.,2,1697814,
Valiant Capital,2,1452689,
VenBio Select Advisor,2,1633313,
Vivo Capital,2,1750117,
Vivo Capital,2,1618788,
Vivo Capital,2,1628048,
Vivo Capital,2,1618789,
Vivo Capital,2,1674712,
Vivo Capital,2,1674712,
Ward Ferry Management Ltd,2,1632574,
Water Island Capital,2,1222765,
Welch Capital Partners,2,1042063,
Whale Rock Capital Management,2,1387322,
Whale Rock Capital Management,2,1387322,
Whetstone Capital Advisors,2,1607278,
Whetstone Capital Advisors,2,1607278,
Wildcat Capital Management,2,1582384,
WT Asset Management Ltd,2,1780365,
Yacktman Asset Management,2,905567,
Zimmer Partners,2,1565854,
"Toronado Partners, LLC",2,1749611,
Centerbridge Partners,2,1484836,
Shah Capital Management,2,1383838,
Fairfax Financial Holdings,2,915191,
Monarch Alternative Capital,2,1281084,
Foresite Capital,2,1645157,
Marathon Asset Management,2,1279913,
Scion Asset Management,2,1649339,
Yaupon Capital,2,1755028,
Sound Point Capital,2,1591307,
Nokomis Capital,2,1541055,
Aristeia Capital,2,1080171,
BP Capital,2,1654710,
Ariose Capital,2,1665925,
Dorsey Asset Management,2,1671657,
Antipodean Advisors,2,1512566,
Crestwood Capital Management,2,1468395,
Ward Ferry Management,2,1632574,
SRS Investment Management,2,1503174,
Firsthand Capital Management,2,1476179,
Black and White Capital,2,1690186,
Foxhaven Asset Management,2,1590531,
Light Street Capital Management,2,1569049,
Crosslink Capital,2,1104329,
Shannon River Fund Management,2,1301050,
Akre Capital Management,2,1112520,
